sample,treatment,genotype
HT_K_VIS_Pool1,VIS,HT_K
HT_K_VIS_Pool2,VIS,HT_K
HT_K_VIS_Pool3,VIS,HT_K
HT_K_UV_Pool1,UV,HT_K
HT_K_UV_Pool2,UV,HT_K
HT_K_UV_Pool3,UV,HT_K
HT_I_VIS_Pool1,VIS,HT_I
HT_I_VIS_Pool2,VIS,HT_I
HT_I_VIS_Pool3,VIS,HT_I
HT_I_UV_Pool1,UV,HT_I
HT_I_UV_Pool2,UV,HT_I
HT_I_UV_Pool3,UV,HT_I
LT_C_VIS_Pool1,VIS,LT_C
LT_C_VIS_Pool2,VIS,LT_C
LT_C_VIS_Pool3,VIS,LT_C
LT_C_UV_Pool1,UV,LT_C
LT_C_UV_Pool2,UV,LT_C
LT_C_UV_Pool3,UV,LT_C
LT_A_VIS_Pool1,VIS,LT_A
LT_A_VIS_Pool2,VIS,LT_A
LT_A_VIS_Pool3,VIS,LT_A
LT_A_UV_Pool1,UV,LT_A
LT_A_UV_Pool2,UV,LT_A
LT_A_UV_Pool3,UV,LT_A
